Old_Locus,Locus,Info,log2FC,padj,TPM_BF,TPM_Ctrl,log2TPM_BF,log2TPM_Ctrl,protein_fam,Protein Family LH,AOA conserved,AOA exclusive,"Conserved NV,NF,NM",Conserved in Soil Strains
NFRAN_RS09490,NFRAN_2290,helix-hairpin-helix domain-containing protein,0.07,6.18E-01,32.47,45.67,5.01,5.51,76G-FAM002490,Thaumi_prot_LH_FAM003260,N,N,,
NFRAN_RS09495,NFRAN_2291,hypothetical protein,-0.15,8.52E-01,1.68,2.78,0.65,1.12,76G-FAM035687,Thaumi_prot_LH_FAM013316,N,Y,,
NFRAN_RS09500,NFRAN_2292,hypothetical protein,-0.17,4.88E-01,14.69,24.05,3.83,4.58,76G-FAM009812,Thaumi_prot_LH_FAM003721,N,Y,,
NFRAN_RS09505,NFRAN_2293,MFS transporter,-0.71,1.26E-05,10.11,24.39,3.32,4.59,76G-FAM007590,Thaumi_prot_LH_FAM001353,N,Y,,
NFRAN_RS09510,NFRAN_2294,hypothetical protein,-0.9,1.50E-07,19.45,53.34,4.25,5.72,76G-FAM009244,Thaumi_prot_LH_FAM002342,N,Y,,
NFRAN_RS09515,NFRAN_2295,hypothetical protein,-1.28,8.92E-12,84.87,297.99,6.35,8.19,76G-FAM035688,Thaumi_prot_LH_FAM013317,N,Y,,
NFRAN_RS09520,NFRAN_2297,TetR/AcrR family transcriptional regulator,-0.45,1.37E-02,189.25,381.32,7.55,8.54,76G-FAM009649,Thaumi_prot_LH_FAM002811,N,Y,,
NFRAN_RS09525,NFRAN_2298,gamma carbonic anhydrase family protein,-0.24,3.13E-02,95.31,164.37,6.56,7.36,76G-FAM003393,Thaumi_prot_LH_FAM004276,N,N,,
NFRAN_RS09530,0,DUF4573 domain-containing protein,-0.85,6.12E-05,70.29,180.24,6.02,7.48,76G-FAM035689,Thaumi_prot_LH_FAM013318,N,Y,,
NFRAN_RS13900,NFRAN_2300,hypothetical protein,-0.58,1.29E-05,229.58,496.56,7.81,8.95,#N/A,Thaumi_prot_LH_FAM013319,#N/A,#N/A,,
NFRAN_RS09535,NFRAN_2301,hypothetical protein,-0.31,5.18E-01,4.55,8.08,2.05,2.97,76G-FAM010698,Thaumi_prot_LH_FAM004278,N,Y,,
NFRAN_RS09540,NFRAN_2302,O-methyltransferase,0.6,2.82E-06,99.38,96.38,6.62,6.59,76G-FAM008330,Thaumi_prot_LH_FAM000295,N,Y,,
NFRAN_RS09545,NFRAN_2304,DDE-type integrase/transposase/recombinase,0.49,7.15E-01,0.53,0.52,#NUM!,#NUM!,76G-FAM003153,Thaumi_prot_LH_FAM002609,N,N,,
NFRAN_RS09550,NFRAN_2305,cupin domain-containing protein,-0.02,9.06E-01,284.09,422.35,8.14,8.72,76G-FAM010446,Thaumi_prot_LH_FAM004044,N,Y,,
NFRAN_RS09555,NFRAN_TRNA22,tRNA-Arg,1.01,9.54E-03,46,32.36,5.31,4.93,#N/A,#N/A,#N/A,#N/A,,
NFRAN_RS09560,NFRAN_2306,hypothetical protein,0.73,5.22E-09,787.88,702.53,9.61,9.45,76G-FAM007599,Thaumi_prot_LH_FAM002963,N,Y,,
NFRAN_RS09565,NFRAN_2307,proteasome subunit beta,0.04,7.69E-01,929.72,1334.63,9.86,10.37,76G-FAM000331_0,Thaumi_prot_LH_FAM000156,Y,N,,
NFRAN_RS09570,NFRAN_2308,ATP-binding protein,0.36,2.47E-04,324.08,372.53,8.33,8.54,76G-FAM010111,Thaumi_prot_LH_FAM002901,N,Y,,
NFRAN_RS09575,NFRAN_2309,hypothetical protein,-0.09,5.12E-01,595.91,927.21,9.19,9.85,76G-FAM010699,Thaumi_prot_LH_FAM003547,N,Y,,
NFRAN_RS09580,NFRAN_2310,PUA domain-containing protein,-0.39,2.42E-03,45.38,86.63,5.47,6.43,76G-FAM000644,Thaumi_prot_LH_FAM000157,Y,N,,
NFRAN_RS09585,NFRAN_2311,hypothetical protein,0.55,6.33E-05,256.2,256.17,7.97,8,76G-FAM000539,Thaumi_prot_LH_FAM000240,Y,N,,
NFRAN_RS09590,NFRAN_2312,proline--tRNA ligase,-0.27,1.90E-02,104.64,182.59,6.68,7.51,76G-FAM000154,Thaumi_prot_LH_FAM000241,N,N,,
NFRAN_RS09595,NFRAN_2313,signal peptidase I,-0.32,5.71E-03,165.7,300.88,7.34,8.23,76G-FAM002815,Thaumi_prot_LH_FAM000015,N,N,,
NFRAN_RS09600,NFRAN_2314,DUF367 family protein,-0.44,1.12E-04,283.72,562.01,8.13,9.13,76G-FAM002657,Thaumi_prot_LH_FAM000655,Y,N,,
NFRAN_RS09605,NFRAN_MISCRNA2,RNase P RNA component,0.34,2.59E-03,41009.64,47762.03,15.32,15.54,#N/A,#N/A,#N/A,#N/A,,
NFRAN_RS09610,NFRAN_2315,NOL1/NOP2/sun family putative RNA methylase,-0.29,2.83E-03,24.43,43.93,4.61,5.45,76G-FAM000366,Thaumi_prot_LH_FAM002831,N,Y,,
NFRAN_RS09615,NFRAN_2316,hypothetical protein,-0.1,4.06E-01,23.5,37.09,4.55,5.21,76G-FAM010700,Thaumi_prot_LH_FAM004279,N,Y,,
NFRAN_RS09620,NFRAN_2317,hypothetical protein,0.01,9.52E-01,409.98,596.79,8.66,9.22,76G-FAM009783,Thaumi_prot_LH_FAM002828,N,Y,,
NFRAN_RS09625,NFRAN_2318,2-phospho-L-lactate transferase,-0.25,7.36E-02,23.15,40.48,4.52,5.33,76G-FAM000786,Thaumi_prot_LH_FAM000653,Y,N,,
NFRAN_RS09630,NFRAN_2319,2-phospho-L-lactate guanylyltransferase,-0.82,1.75E-05,11.32,28.87,3.43,4.84,76G-FAM010701,Thaumi_prot_LH_FAM004280,N,Y,,
NFRAN_RS09635,NFRAN_2320,cupredoxin domain-containing protein,-0.17,4.37E-01,44.15,71.37,5.39,6.14,76G-FAM010071,Thaumi_prot_LH_FAM002930,N,Y,,
NFRAN_RS09640,0,hypothetical protein,-0.31,5.13E-01,7.12,12.99,2.69,3.61,76G-FAM035690,Thaumi_prot_LH_FAM013320,N,Y,,
NFRAN_RS09645,NFRAN_2321,HemK2/MTQ2 family protein methyltransferase,0.53,1.35E-02,7.51,7.67,2.9,2.93,76G-FAM000817,Thaumi_prot_LH_FAM000311,N,N,,
NFRAN_RS09650,NFRAN_2322,isocitrate/isopropylmalate dehydrogenase family protein,-0.26,1.86E-02,284.24,496.64,8.13,8.95,76G-FAM000173_0,Thaumi_prot_LH_FAM000312,Y,N,,
NFRAN_RS09655,NFRAN_2323,hypothetical protein,-0.15,2.01E-01,132.99,216.79,7.04,7.76,76G-FAM009928,Thaumi_prot_LH_FAM003079,N,Y,,
NFRAN_RS09660,NFRAN_2324,ribonuclease HI family protein,-0.19,2.56E-01,39.61,66.3,5.29,6.05,76G-FAM000501,Thaumi_prot_LH_FAM004281,N,N,,
NFRAN_RS09665,NFRAN_2325,GTP-binding protein,0.83,9.26E-12,372.34,310.15,8.53,8.27,76G-FAM000444,Thaumi_prot_LH_FAM000226,Y,N,,
NFRAN_RS09670,NFRAN_2326,hypothetical protein,-0.15,5.17E-02,788.05,1286.67,9.61,10.33,76G-FAM007568,Thaumi_prot_LH_FAM000188,Y,Y,,
NFRAN_RS09675,NFRAN_2327,coenzyme F420-0:L-glutamate ligase,0.17,1.32E-01,31.87,41.54,4.98,5.38,76G-FAM000546_0,Thaumi_prot_LH_FAM000187,Y,N,,
NFRAN_RS09680,NFRAN_2328,DDE-type integrase/transposase/recombinase,-1.94,2.61E-01,0.06,0.36,#NUM!,#NUM!,76G-FAM003153,Thaumi_prot_LH_FAM002609,N,N,,
NFRAN_RS09685,NFRAN_2330,3-isopropylmalate dehydratase large subunit,0.24,6.51E-03,265.83,331.48,8.05,8.37,76G-FAM000986,Thaumi_prot_LH_FAM000823,Y,N,,
NFRAN_RS09690,NFRAN_2331,3-isopropylmalate dehydratase small subunit,0.25,7.16E-03,239.03,295.6,7.9,8.21,76G-FAM000987_0,Thaumi_prot_LH_FAM000824,Y,N,,
NFRAN_RS09695,NFRAN_2332,hypothetical protein,-0.25,2.27E-01,16.24,28.3,4,4.79,76G-FAM010702,Thaumi_prot_LH_FAM004282,N,Y,,
NFRAN_RS09700,NFRAN_2333,hypothetical protein,-0.23,8.52E-02,103.76,177.17,6.66,7.46,76G-FAM035691,Thaumi_prot_LH_FAM013321,N,Y,,
NFRAN_RS13905,NFRAN_2334,hypothetical protein,0.01,9.76E-01,776.28,1157.85,9.57,10.16,#N/A,Thaumi_prot_LH_FAM002842,#N/A,#N/A,,
NFRAN_RS09705,NFRAN_2335,YcaO-like family protein,-0.15,1.02E-01,74.37,120.9,6.2,6.92,76G-FAM007471,Thaumi_prot_LH_FAM002562,N,Y,,
NFRAN_RS09710,NFRAN_2336,TfuA-like protein,-0.16,2.48E-01,62.11,101.65,5.94,6.66,76G-FAM007472,Thaumi_prot_LH_FAM002563,N,Y,,
NFRAN_RS09715,NFRAN_2337,hypothetical protein,0.09,5.13E-01,77.91,107.93,6.28,6.75,76G-FAM003559,Thaumi_prot_LH_FAM000789,Y,N,,
NFRAN_RS09720,NFRAN_2338,metallophosphoesterase,0.28,1.40E-01,21.86,26.05,4.4,4.7,76G-FAM000143,Thaumi_prot_LH_FAM003222,N,Y,,
NFRAN_RS13910,NFRAN_2340,hypothetical protein,0.48,1.17E-02,5095.61,5394.69,12.27,12.39,#N/A,Thaumi_prot_LH_FAM004914,#N/A,#N/A,,
NFRAN_RS09725,NFRAN_2341,hypothetical protein,0.46,5.98E-03,671.34,711.9,9.34,9.47,76G-FAM004944,Thaumi_prot_LH_FAM001810,N,Y,,
NFRAN_RS09730,NFRAN_2342,ABC transporter ATP-binding protein,0.02,9.14E-01,51.16,74.36,5.67,6.21,76G-FAM000031_0,Thaumi_prot_LH_FAM000504,Y,N,,
NFRAN_RS09735,NFRAN_2344,hypothetical protein,0.37,7.46E-03,1005.17,1132.76,9.93,10.14,76G-FAM010706,Thaumi_prot_LH_FAM004286,N,Y,,
NFRAN_RS09740,NFRAN_2345,amidohydrolase family protein,0.27,1.31E-02,94.59,115.18,6.55,6.85,76G-FAM000121,Thaumi_prot_LH_FAM000021,Y,N,,
NFRAN_RS09745,NFRAN_2346,ribose 5-phosphate isomerase A,0.2,1.56E-01,130.31,166.63,7.01,7.37,76G-FAM000039,Thaumi_prot_LH_FAM000022,Y,N,,
NFRAN_RS09750,NFRAN_2347,hypothetical protein,-0.54,2.40E-08,157.69,334,7.28,8.38,76G-FAM010707,Thaumi_prot_LH_FAM004287,N,Y,,
NFRAN_RS09755,0,50S ribosomal protein L37e,-0.41,1.46E-02,69.97,136.65,6.11,7.08,76G-FAM000323,Thaumi_prot_LH_FAM000023,N,N,,
NFRAN_RS09760,NFRAN_2348,LSm family protein,-0.35,2.37E-03,318.87,601.03,8.31,9.23,76G-FAM000322_0,Thaumi_prot_LH_FAM000024,Y,N,,
NFRAN_RS09765,NFRAN_2349,creatininase family protein,0.1,5.32E-01,19.87,27.23,4.29,4.77,76G-FAM001256,Thaumi_prot_LH_FAM000025,N,Y,,
NFRAN_RS09770,NFRAN_2350,formyltetrahydrofolate deformylase,-0.64,1.45E-05,90.77,206.1,6.46,7.69,76G-FAM002909,Thaumi_prot_LH_FAM000026,Y,N,,
NFRAN_RS09775,NFRAN_2351,hypothetical protein,0.41,5.83E-03,445.5,484.67,8.76,8.91,76G-FAM010419_0,Thaumi_prot_LH_FAM004011_0,N,Y,,
NFRAN_RS13915,0,hypothetical protein,-0.25,5.16E-01,9.14,15.63,3.1,3.92,#N/A,Thaumi_prot_LH_FAM000034,#N/A,#N/A,,
NFRAN_RS09780,NFRAN_2352,hypothetical protein,-0.16,2.42E-01,98.48,161.02,6.6,7.33,76G-FAM007521,Thaumi_prot_LH_FAM003004,N,Y,,
NFRAN_RS09785,NFRAN_2353,DUF6659 family protein,0.14,4.05E-01,148.96,197.18,7.18,7.62,76G-FAM003537_0,Thaumi_prot_LH_FAM000040_0,Y,N,,
NFRAN_RS09790,NFRAN_2354,50S ribosomal protein L15e,-0.54,6.82E-06,280.22,595.85,8.1,9.21,76G-FAM000984,Thaumi_prot_LH_FAM000518,N,N,,
NFRAN_RS13920,NFRAN_2355,hypothetical protein,0.47,6.42E-03,66.41,70.89,6.04,6.14,#N/A,Thaumi_prot_LH_FAM013322,#N/A,#N/A,,
NFRAN_RS09795,NFRAN_2356,30S ribosomal protein S30e,-0.06,6.65E-01,1700.34,2588.64,10.72,11.33,76G-FAM000204,Thaumi_prot_LH_FAM000363,Y,N,,
NFRAN_RS09800,NFRAN_2358,quinolinate synthase NadA,1.5,4.45E-07,563.29,304.98,9.08,8.25,76G-FAM003339,Thaumi_prot_LH_FAM000526,N,N,,
NFRAN_RS09805,NFRAN_2359,carboxylating nicotinate-nucleotide diphosphorylase,-0.25,8.18E-02,71.6,126.11,6.15,6.97,76G-FAM000534,Thaumi_prot_LH_FAM000527,Y,N,,
NFRAN_RS09810,NFRAN_2360,transcription elongation factor subunit Spt4,-0.13,3.65E-01,436.97,707.11,8.76,9.46,76G-FAM000424,Thaumi_prot_LH_FAM000528,N,N,,
NFRAN_RS09815,NFRAN_2361,DNA-directed RNA polymerase,-0.32,5.66E-03,292.24,535.23,8.17,9.06,76G-FAM000460,Thaumi_prot_LH_FAM000529,Y,N,,
NFRAN_RS09820,NFRAN_2363,Mrp/NBP35 family ATP-binding protein,0.26,1.19E-02,548.04,676.3,9.09,9.4,76G-FAM000398,Thaumi_prot_LH_FAM000530,N,N,,
NFRAN_RS09825,NFRAN_2364,DUF359 domain-containing protein,-0.1,5.31E-01,43.15,67.81,5.42,6.08,76G-FAM000780,Thaumi_prot_LH_FAM000531,Y,N,,
NFRAN_RS14370,NFRAN_2365,hypothetical protein,0.16,6.36E-01,25.04,33.78,4.61,5.05,#N/A,#N/A,#N/A,#N/A,,
NFRAN_RS09830,NFRAN_2366,adenylate/guanylate cyclase domain-containing protein,-0.32,1.89E-03,111.74,203.99,6.78,7.67,76G-FAM007408,Thaumi_prot_LH_FAM000452,N,Y,,
NFRAN_RS09835,NFRAN_2367,hypothetical protein,-0.18,1.29E-01,137.12,228.37,7.09,7.83,76G-FAM011208,Thaumi_prot_LH_FAM004913,N,Y,,
NFRAN_RS09840,NFRAN_2368,hypothetical protein,0.84,1.07E-07,64.18,52.49,5.97,5.7,76G-FAM004890,Thaumi_prot_LH_FAM003251,N,N,,
NFRAN_RS09845,NFRAN_2369,helix-turn-helix domain-containing protein,0.33,3.54E-01,4.83,5.8,2.21,2.51,76G-FAM035692,Thaumi_prot_LH_FAM013323,N,Y,,
NFRAN_RS09850,NFRAN_2370,iron-containing alcohol dehydrogenase,-0.18,1.32E-01,593.91,979.74,9.2,9.93,76G-FAM008306,Thaumi_prot_LH_FAM000362,N,Y,,
NFRAN_RS09855,NFRAN_2371,SRPBCC family protein,0.3,5.38E-03,1572.67,1867.41,10.6,10.87,76G-FAM002863,Thaumi_prot_LH_FAM001150,Y,N,,
NFRAN_RS09860,NFRAN_TRNA23,tRNA-Lys,0.44,2.06E-03,975.74,1041.54,9.89,10.02,#N/A,#N/A,#N/A,#N/A,,
NFRAN_RS09865,NFRAN_2372,YoaK family protein,-0.5,4.24E-04,11,22.67,3.44,4.5,76G-FAM011558,Thaumi_prot_LH_FAM005656,N,Y,,
NFRAN_RS09870,NFRAN_2373,hypothetical protein,-0.92,3.47E-01,0.95,2.65,#NUM!,1.23,76G-FAM035693,Thaumi_prot_LH_FAM013324,N,Y,,
NFRAN_RS09875,NFRAN_2374,hypothetical protein,0.41,6.30E-01,1.86,2.09,0.73,0.84,76G-FAM035694,Thaumi_prot_LH_FAM013325,N,Y,,
NFRAN_RS09880,NFRAN_2375,hypothetical protein,-0.81,2.73E-07,49.89,129.32,5.61,7.01,76G-FAM011559,Thaumi_prot_LH_FAM005657,N,Y,,
NFRAN_RS09885,NFRAN_2376,hypothetical protein,-0.62,2.65E-03,15.23,33.93,3.85,5.07,76G-FAM011205,Thaumi_prot_LH_FAM004910,N,Y,,
NFRAN_RS09890,0,hypothetical protein,-0.01,9.97E-01,0.46,0.64,#NUM!,-0.98,76G-FAM003153,Thaumi_prot_LH_FAM002609,N,N,,
NFRAN_RS09895,NFRAN_2377,DDE-type integrase/transposase/recombinase,0.33,6.31E-01,1.7,2.07,0.57,0.99,76G-FAM035695,Thaumi_prot_LH_FAM013326,N,Y,,
NFRAN_RS09900,0,hypothetical protein,1.21,1.76E-01,2.35,1.49,1.11,#NUM!,76G-FAM035696,Thaumi_prot_LH_FAM004909,N,Y,,
NFRAN_RS09905,NFRAN_2379,hypothetical protein,0.33,6.43E-01,1.14,1.36,0.03,0.24,76G-FAM007704,Thaumi_prot_LH_FAM001237,N,Y,,
NFRAN_RS09910,NFRAN_2380,hypothetical protein,0.83,1.47E-03,44.5,36.43,5.39,5.14,76G-FAM011560,Thaumi_prot_LH_FAM005658,N,Y,,
NFRAN_RS09915,NFRAN_2382,hypothetical protein,0.55,7.74E-06,316.16,314.6,8.27,8.3,76G-FAM035697,Thaumi_prot_LH_FAM004203,N,Y,,
NFRAN_RS09920,NFRAN_2383,6-bladed beta-propeller,0.56,9.31E-09,673.4,669.88,9.38,9.39,76G-FAM009154,Thaumi_prot_LH_FAM004014,N,Y,,
NFRAN_RS09925,NFRAN_2384,PQQ-dependent sugar dehydrogenase,-0.29,5.92E-03,34.8,62.78,5.11,5.97,76G-FAM008430,Thaumi_prot_LH_FAM001362,N,Y,,
NFRAN_RS09930,NFRAN_2386,hypothetical protein,-0.65,2.39E-05,41.01,93.98,5.31,6.54,76G-FAM010465,Thaumi_prot_LH_FAM004065,N,Y,,
NFRAN_RS09935,NFRAN_2387,DDE-type integrase/transposase/recombinase,0.25,5.12E-01,8.61,10.28,2.89,3.34,76G-FAM003153,Thaumi_prot_LH_FAM002609,N,N,,
NFRAN_RS09940,NFRAN_2389,hypothetical protein,0.8,2.12E-01,2.96,2.46,1.56,1.01,76G-FAM035698,Thaumi_prot_LH_FAM013327,N,Y,,
NFRAN_RS09945,NFRAN_2390,DUF2299 family protein,0.79,2.21E-02,4.5,3.87,2.15,1.87,76G-FAM011227,Thaumi_prot_LH_FAM004929,N,Y,,
NFRAN_RS09950,NFRAN_2391,hypothetical protein,1.27,4.47E-03,5.09,3.07,2.31,1.38,76G-FAM010724,Thaumi_prot_LH_FAM004309,N,Y,,
NFRAN_RS09955,NFRAN_2393,MarC family protein,-0.02,9.70E-01,3.48,5.04,1.56,2.3,76G-FAM000423,Thaumi_prot_LH_FAM002697,N,N,,
NFRAN_RS09960,NFRAN_2395,universal stress protein,-0.42,1.83E-01,4.04,7.97,1.96,2.98,76G-FAM001480_0,Thaumi_prot_LH_FAM000499_1,N,N,,
NFRAN_RS09965,NFRAN_2396,glycosyltransferase,0.42,3.96E-03,13.1,14.49,3.7,3.85,76G-FAM010609,Thaumi_prot_LH_FAM002900,N,Y,,
NFRAN_RS09970,NFRAN_2397,glycosidase,0.39,2.99E-01,2.46,2.71,1.19,1.4,76G-FAM000318,Thaumi_prot_LH_FAM004207,N,Y,,
NFRAN_RS09975,NFRAN_2398,hypothetical protein,0.72,2.87E-02,4.98,4.38,2.22,2.12,76G-FAM011228,Thaumi_prot_LH_FAM004930,N,Y,,
NFRAN_RS09980,NFRAN_2399,hypothetical protein,0.16,5.15E-01,21.89,28.43,4.4,4.81,76G-FAM035699,Thaumi_prot_LH_FAM013328,N,Y,,
NFRAN_RS09985,NFRAN_2401,hypothetical protein,1,1.81E-03,8.26,6.02,2.94,2.54,76G-FAM010130,Thaumi_prot_LH_FAM002642,N,Y,,
NFRAN_RS09990,NFRAN_2402,hypothetical protein,1.55,3.58E-17,55.94,28.43,5.78,4.82,76G-FAM009796,Thaumi_prot_LH_FAM003750,N,Y,,
NFRAN_RS09995,NFRAN_2404,MarR family transcriptional regulator,1.17,2.91E-12,48.35,31.85,5.57,4.99,76G-FAM007518,Thaumi_prot_LH_FAM000727,N,Y,,
NFRAN_RS13925,NFRAN_2405,hypothetical protein,-0.1,8.03E-01,10,16.09,3.28,3.97,#N/A,Thaumi_prot_LH_FAM013329,#N/A,#N/A,,
NFRAN_RS10005,NFRAN_2406,hypothetical protein,-0.03,8.82E-01,49.1,72.56,5.57,6.18,76G-FAM010419_0,Thaumi_prot_LH_FAM004011_0,N,Y,,
NFRAN_RS10010,NFRAN_2407,VOC family protein,1.41,8.92E-12,36.73,20.44,5.15,4.34,76G-FAM008554,Thaumi_prot_LH_FAM001700,N,Y,,
NFRAN_RS10015,NFRAN_2408,hypothetical protein,1.41,3.53E-02,4.71,2.64,1.94,1.04,76G-FAM010630,Thaumi_prot_LH_FAM002715,N,Y,,
NFRAN_RS10020,NFRAN_2410,response regulator,-0.09,9.52E-01,0.32,0.55,#NUM!,#NUM!,76G-FAM011090,Thaumi_prot_LH_FAM004666,N,Y,,
NFRAN_RS10025,NFRAN_2411,hypothetical protein,0.62,2.42E-01,2.42,2.39,1.18,1.09,76G-FAM007704,Thaumi_prot_LH_FAM001237,N,Y,,
NFRAN_RS10030,NFRAN_2412,hypothetical protein,1.24,3.96E-12,213.3,133.3,7.69,7.05,76G-FAM011560,Thaumi_prot_LH_FAM005658,N,Y,,
NFRAN_RS10035,NFRAN_2413,radical SAM protein,0.31,1.29E-02,30.69,36.58,4.93,5.19,76G-FAM003818,Thaumi_prot_LH_FAM000695,N,N,,
NFRAN_RS10040,NFRAN_2414,hypothetical protein,0.2,4.05E-01,4.48,5.76,2.13,2.52,76G-FAM011229,Thaumi_prot_LH_FAM004931,N,Y,,
NFRAN_RS10045,NFRAN_2415,serine hydrolase domain-containing protein,0.63,2.22E-06,39.99,38.19,5.32,5.24,76G-FAM010471,Thaumi_prot_LH_FAM004071,N,Y,,
NFRAN_RS14375,NFRAN_2418,MarC family protein,1.29,6.09E-01,0.57,0.35,#NUM!,#NUM!,#N/A,#N/A,#N/A,#N/A,,
NFRAN_RS14380,NFRAN_2419,MarC family protein,0.04,9.68E-01,1.67,2.38,#NUM!,0.96,#N/A,#N/A,#N/A,#N/A,,
NFRAN_RS10070,NFRAN_2421,hypothetical protein,1.01,1.21E-02,17.52,12.55,3.87,3.62,76G-FAM011560,Thaumi_prot_LH_FAM005658,N,Y,,
NFRAN_RS10080,NFRAN_2424,hypothetical protein,-0.63,6.19E-02,4.49,10.26,2.13,3.32,76G-FAM007812,Thaumi_prot_LH_FAM000271,N,Y,,
NFRAN_RS10085,NFRAN_2426,hypothetical protein,-0.59,1.48E-05,23.24,50.45,4.5,5.65,76G-FAM011205,Thaumi_prot_LH_FAM004910,N,Y,,
NFRAN_RS10090,NFRAN_2427,multicopper oxidase family protein MCO2,-0.22,3.95E-02,32.88,56.31,5.03,5.81,76G-FAM010433,Thaumi_prot_LH_FAM004032,N,Y,,
NFRAN_RS10095,NFRAN_2429,hypothetical protein,0.41,5.04E-01,4.09,4.66,1.88,2.06,76G-FAM035704,Thaumi_prot_LH_FAM013333,N,Y,,
NFRAN_RS10100,NFRAN_2430,PQQ-dependent sugar dehydrogenase,0.08,7.61E-01,8.26,11.28,3,3.49,76G-FAM035705,Thaumi_prot_LH_FAM013334,N,Y,,
NFRAN_RS10105,NFRAN_2431,hypothetical protein,-0.48,2.38E-01,10.7,21.29,3.15,4.37,76G-FAM010655,Thaumi_prot_LH_FAM004243,N,Y,,
NFRAN_RS10110,NFRAN_2432,multicopper oxidase family protein,0.13,2.24E-01,44.8,60.3,5.48,5.91,76G-FAM010433,Thaumi_prot_LH_FAM004032,N,Y,,
NFRAN_RS10115,NFRAN_2433,hypothetical protein,0.01,9.80E-01,18.68,27.75,4.21,4.77,76G-FAM010815,Thaumi_prot_LH_FAM004396,N,Y,,
NFRAN_RS10120,NFRAN_2436,6-bladed beta-propeller MCO2,-0.54,1.63E-03,68.02,146.95,6.06,7.2,76G-FAM009154,Thaumi_prot_LH_FAM004014,N,Y,,
NFRAN_RS10125,0,serine hydrolase domain-containing protein,0.45,3.08E-01,539.49,581.03,8.99,9.1,76G-FAM011206,Thaumi_prot_LH_FAM004297,N,Y,,
NFRAN_RS10130,NFRAN_2437,hypothetical protein,0.39,3.90E-03,111.41,124.66,6.78,6.96,76G-FAM010716,Thaumi_prot_LH_FAM004298,N,Y,,
NFRAN_RS10135,NFRAN_2440,hypothetical protein,0.44,1.29E-01,20.83,22.98,4.32,4.5,76G-FAM010715,Thaumi_prot_LH_FAM004296,N,Y,,
NFRAN_RS10140,NFRAN_2442,ion transporter,-0.56,1.46E-01,2.75,5.8,1.29,2.48,76G-FAM009651,Thaumi_prot_LH_FAM002939,N,Y,,
NFRAN_RS10145,NFRAN_2443,IS5 family transposase,-0.98,1.06E-01,0.6,1.73,-0.9,0.68,76G-FAM010661,Thaumi_prot_LH_FAM005650,N,Y,,
NFRAN_RS14150,NFRAN_2447,cation transporter,0.06,8.50E-01,4.11,5.82,2.03,2.54,#N/A,Thaumi_prot_LH_FAM003402,#N/A,#N/A,,
NFRAN_RS14155,NFRAN_2448,hypothetical protein,0.57,3.30E-01,3.59,3.54,1.76,1.55,#N/A,Thaumi_prot_LH_FAM013335,#N/A,#N/A,,
NFRAN_RS10160,NFRAN_2449,right-handed parallel beta-helix repeat-containing protein,-0.57,1.80E-04,78.1,171.95,6.26,7.42,76G-FAM010742,Thaumi_prot_LH_FAM004323,N,Y,,
NFRAN_RS10165,NFRAN_2450,hypothetical protein,-0.77,6.70E-07,48.26,120.34,5.56,6.9,76G-FAM010740,Thaumi_prot_LH_FAM004123,N,Y,,
NFRAN_RS10170,NFRAN_2452,sulfite exporter TauE/SafE family protein,0.3,2.85E-02,13.28,15.84,3.72,3.98,76G-FAM010216,Thaumi_prot_LH_FAM003620,N,Y,,
NFRAN_RS10175,NFRAN_2453,DUF190 domain-containing protein,0.19,6.99E-01,6.19,7.92,2.47,2.92,76G-FAM004171,Thaumi_prot_LH_FAM003280,N,N,,
NFRAN_RS10180,NFRAN_2454,CrcB family protein,-0.66,4.39E-03,7.55,17.56,2.89,4.12,76G-FAM003506,Thaumi_prot_LH_FAM001698,N,N,,
NFRAN_RS10185,NFRAN_2455,hypothetical protein,0.18,8.16E-01,1.29,1.66,0.28,0.67,76G-FAM035706,Thaumi_prot_LH_FAM013336,N,Y,,
NFRAN_RS10190,NFRAN_2456,hypothetical protein,-0.92,5.50E-01,0.66,1.66,#NUM!,#NUM!,76G-FAM035707,Thaumi_prot_LH_FAM013337,N,Y,,
NFRAN_RS10195,NFRAN_2457,hypothetical protein,-0.06,9.57E-01,1.04,1.57,#NUM!,0.54,76G-FAM035708,Thaumi_prot_LH_FAM013338,N,Y,,
NFRAN_RS10200,NFRAN_2458,VOC family protein,-0.42,1.95E-01,3.06,5.96,1.55,2.55,76G-FAM011387,Thaumi_prot_LH_FAM013339,N,Y,,
NFRAN_RS13930,0,hypothetical protein,1.55,2.75E-02,5.28,2.68,2.05,1.23,#N/A,Thaumi_prot_LH_FAM013340,#N/A,#N/A,,
NFRAN_RS10210,NFRAN_2461,hypothetical protein,-2.47,5.44E-24,6,47.7,2.45,5.57,76G-FAM007490,Thaumi_prot_LH_FAM001625,N,Y,,
NFRAN_RS10215,NFRAN_2462,zinc-binding dehydrogenase,-0.6,6.88E-05,54.71,122.98,5.77,6.93,76G-FAM000733_0,Thaumi_prot_LH_FAM000978,Y,N,,
NFRAN_RS10220,NFRAN_2464,class I SAM-dependent methyltransferase,-0.06,7.16E-01,14.88,22.64,3.87,4.49,76G-FAM011074,Thaumi_prot_LH_FAM004650,N,Y,,
NFRAN_RS10225,NFRAN_2466,hypothetical protein,0.6,1.22E-02,11.62,11.26,3.53,3.47,76G-FAM035709,Thaumi_prot_LH_FAM013342,N,Y,,
