Old_Locus,Locus,Info,log2FC,padj,TPM_BF,TPM_Ctrl,log2TPM_BF,log2TPM_Ctrl,protein_fam,Protein family LH,AOA conserved,AOA exclusive,Conserved,Conserved_LH,Rank TPM
NVIE_020740,NVIE_RS09960,major intrinsic protein,-0.44,4.78E-03,46.21,77.11,5.51,6.25,76G-FAM002976,Thaumi_prot_LH_FAM000111,N,N,NV+NF+NM,NV+NF+NM,1855
NVIE_024360,NVIE_RS11675,"putative transcriptional regulator, AsnC family",-0.44,2.87E-05,317.38,524.82,8.3,9.03,76G-FAM000103_1,Thaumi_prot_LH_FAM000222,Y,N,NV+NF+NM,NV+NF+NM,464
NVIE_017050,NVIE_RS08285,putative Fe(II) trafficking protein YggX,-0.44,5.47E-06,587.78,974.19,9.2,9.93,76G-FAM002811,Thaumi_prot_LH_FAM001750,Y,N,NV+NF+NM,NV+NF+NM,233
NVIE_027620,#N/A,protein of unknown function,-0.44,7.59E-01,1.31,2.28,-0.21,#NUM!,#N/A,#N/A,#N/A,#N/A,NA,#N/A,3075
NVIE_007640,NVIE_RS03720,putative oxidoreductase domain protein,-0.44,2.79E-04,167.91,279.31,7.38,8.12,76G-FAM000874,Thaumi_prot_LH_FAM000957,N,N,NV+NF+NM,NV+NF+NM,852
NVIE_028060,NVIE_RS13420,"ABC uptake transporter, permease protein",-0.44,3.31E-03,65.38,108.69,6,6.76,76G-FAM007411,Thaumi_prot_LH_FAM000505,Y,Y,NV+NF+NM,NV+NF+NM,1609
NVIE_027800,NVIE_RS13295,putative tRNA pseudouridine synthase D,-0.44,5.24E-04,55.58,92.13,5.78,6.52,76G-FAM000838,Thaumi_prot_LH_FAM000342,N,N,NV+NF+NM,NV+NF+NM,1727
NVIE_020370,NVIE_RS09775,putative carbon-nitrogen hydrolase,-0.44,4.80E-06,71.84,118.85,6.16,6.89,76G-FAM000169,Thaumi_prot_LH_FAM000999,Y,N,NV+NF+NM,NV+NF+NM,1537
NVIE_030000,NVIE_RS14355,thioredoxin,-0.44,2.45E-04,428.79,713.22,8.73,9.48,76G-FAM000983_0,Thaumi_prot_LH_FAM000017,Y,N,NV+NF+NM,NV+NF+NM,338
NVIE_019440,#N/A,protein of unknown function,-0.44,3.41E-01,4.36,7.24,1.87,2.85,#N/A,#N/A,#N/A,#N/A,NA,#N/A,2909
NVIE_022920,NVIE_RS11000,"archaeal A1A0-type ATP synthase, subunit D",-0.44,2.68E-04,1247.48,2073.44,10.27,11.02,76G-FAM000381,Thaumi_prot_LH_FAM000803,N,N,NV+NM,NV+NM,87
NVIE_011860,NVIE_RS05730,uncharacterised protein family UPF0103,-0.44,7.24E-09,229.52,381.68,7.84,8.58,76G-FAM000437,Thaumi_prot_LH_FAM000894,N,N,NV+NF+NM,NV+NF+NM,636
NVIE_009160,NVIE_RS04475,"putative superfamily II DNA/RNA helicase, SNF2 family",-0.44,8.59E-05,59.32,98.48,5.88,6.62,76G-FAM035457,Thaumi_prot_LH_FAM008503,N,Y,NV,NV,1683
NVIE_008670,NVIE_RS04230,phosphoribosylamine--glycine ligase,-0.44,2.73E-04,118.4,197.63,6.88,7.62,76G-FAM002766,Thaumi_prot_LH_FAM000076,N,N,NV+NF+NM,NV+NF+NM,1112
NVIE_010920,NVIE_RS05285,hydroxyacyl-CoA dehydrogenase,-0.44,8.84E-05,183.1,304.6,7.5,8.25,76G-FAM000894,Thaumi_prot_LH_FAM000269,Y,N,NV+NF+NM,NV+NF+NM,779
NVIE_020260,NVIE_RS09730,glucose/ribitol dehydrogenase family protein,-0.44,1.97E-05,119.61,199.72,6.9,7.64,76G-FAM002841,Thaumi_prot_LH_FAM002824,N,N,NV,NV,1101
NVIE_001750,NVIE_RS14680,protein of unknown function,-0.44,5.49E-04,26.29,43.67,4.7,5.45,#N/A,Thaumi_prot_LH_FAM003496,#N/A,#N/A,NA,NV,2206
NVIE_017100,NVIE_RS08310,orotidine 5'-phosphate decarboxylase,-0.44,5.59E-04,38.53,64.37,5.26,6,76G-FAM001922,Thaumi_prot_LH_FAM000816,Y,N,NV+NF+NM,NV+NF+NM,1969
NVIE_013220,NVIE_RS06395,protein of unknown function,-0.44,2.62E-02,33.94,56.13,5.03,5.8,76G-FAM010282,Thaumi_prot_LH_FAM003651,N,Y,NV,NV,2049
NVIE_001930,NVIE_RS00940,Putative sensor protein,-0.44,1.56E-04,100.2,167.74,6.64,7.39,76G-FAM010025,Thaumi_prot_LH_FAM003505,N,Y,NV,NV,1263
NVIE_000240,NVIE_RS00120,exosome complex RNA-binding protein,-0.44,3.63E-03,482.62,806.62,8.9,9.65,76G-FAM000511,Thaumi_prot_LH_FAM000852,N,N,NV+NM,NV+NF+NM,301
NVIE_0616,NVIE_RS15175,protein of unknown function,-0.45,1.13E-01,8.05,13.38,2.9,3.73,#N/A,Thaumi_prot_LH_FAM008464,#N/A,#N/A,NA,NV,2747
NVIE_029030,NVIE_RS13870,protein of unknown function,-0.45,2.23E-02,9.4,15.51,3.18,3.95,76G-FAM035437,Thaumi_prot_LH_FAM008788,N,Y,NV,NV,2696
NVIE_014130,NVIE_RS06850,aspartyl/glutamyl-tRNA amidotransferase subunit C,-0.45,2.70E-04,96.38,160.69,6.57,7.33,76G-FAM002930,Thaumi_prot_LH_FAM000142,N,N,NV+NF+NM,NV+NM,1297
NVIE_008450,NVIE_RS04120,hypothetical protein,-0.45,1.02E-02,28.54,47.92,4.82,5.54,76G-FAM000767,Thaumi_prot_LH_FAM001398,Y,N,NV+NF+NM,NV+NF+NM,2164
NVIE_000400,NVIE_RS00200,tryptophan--tRNA ligase,-0.45,1.19E-08,187.02,313.28,7.55,8.29,76G-FAM000137,Thaumi_prot_LH_FAM000051,Y,N,NV+NF+NM,NV+NF+NM,760
NVIE_004120,NVIE_RS01980,putative UspA domain protein,-0.45,5.29E-04,35.89,59.75,5.15,5.9,76G-FAM001480_0,Thaumi_prot_LH_FAM000499_1,N,N,NV+NF+NM,NV+NF+NM,2011
NVIE_027080,NVIE_RS12955,DNA polymerase sliding clamp,-0.45,9.04E-05,347.87,582.36,8.44,9.18,76G-FAM000607,Thaumi_prot_LH_FAM000784,Y,N,NV+NF+NM,NV+NF+NM,430
NVIE_t0380,NVIE_RS14235,tRNA-Ser,-0.45,3.16E-01,10.51,17.32,3.14,4.1,#N/A,#N/A,#N/A,#N/A,NA,#N/A,2658
NVIE_018390,NVIE_RS08930,putative membrane alanyl aminopeptidase,-0.45,5.29E-04,108.53,181.64,6.75,7.5,76G-FAM001546,Thaumi_prot_LH_FAM003256,N,N,NV+NF,NV+NF,1192
NVIE_023080,NVIE_RS11070,conserved protein of unknown function,-0.45,3.93E-03,89.64,151.33,6.47,7.23,76G-FAM008868,Thaumi_prot_LH_FAM003203,N,Y,NV,NV,1371
NVIE_007440,NVIE_RS03605,hypothetical protein,-0.45,3.69E-06,60.44,101.23,5.91,6.66,76G-FAM000683,Thaumi_prot_LH_FAM001785,N,N,NV+NF+NM,NV+NF+NM,1669
NVIE_014610,NVIE_RS07100,putative HAD-superfamily hydrolase,-0.45,2.55E-04,39.21,65.27,5.28,6.03,76G-FAM010311,Thaumi_prot_LH_FAM002611,N,Y,NV+NF,NV+NF,1959
NVIE_020130,NVIE_RS09675,Adenylyl cyclase class-3/4/guanylyl cyclase,-0.45,6.41E-03,10.79,18,3.42,4.15,76G-FAM007408,Thaumi_prot_LH_FAM000452,N,Y,NV+NF+NM,NV+NF+NM,2645
NVIE_1371,NVIE_RS06520,30S ribosomal protein S12p,-0.45,8.62E-05,653.28,1093.06,9.34,10.09,76G-FAM000349,Thaumi_prot_LH_FAM000292,Y,N,NV+NF+NM,NV+NF+NM,202
NVIE_020070,NVIE_RS09650,protein of unknown function,-0.45,3.66E-03,19.21,32.16,4.24,5,76G-FAM009693,Thaumi_prot_LH_FAM002703,N,Y,NV,NV,2393
NVIE_015870,NVIE_RS07710,N5-carboxyaminoimidazole ribonucleotide mutase,-0.45,2.44E-03,10.3,17.28,3.36,4.1,76G-FAM002057,Thaumi_prot_LH_FAM000608,Y,N,NV+NF+NM,NV+NF+NM,2665
NVIE_001920,NVIE_RS00935,protein of unknown function,-0.45,6.94E-06,207.18,349.11,7.69,8.44,76G-FAM009784,Thaumi_prot_LH_FAM003200,N,Y,NV+NF,NV+NF,697
NVIE_010260,NVIE_RS04985,protein of unknown function,-0.46,1.86E-03,45.62,76.26,5.49,6.25,76G-FAM035221,Thaumi_prot_LH_FAM008514,N,Y,NV,NV,1871
NVIE_014660,NVIE_RS07125,protein of unknown function,-0.46,5.24E-01,1.74,2.97,0.75,1.1,76G-FAM010313,Thaumi_prot_LH_FAM003664,N,Y,NV,NV,3053
NVIE_029700,NVIE_RS14200,hypothetical protein,-0.46,5.86E-04,55.97,93.62,5.79,6.54,76G-FAM006291,Thaumi_prot_LH_FAM001392,N,Y,NV+NF,NV+NF+NM,1722
NVIE_002760,NVIE_RS01340,succinate dehydrogenase flavoprotein subunit/fumarate reductase,-0.46,1.50E-04,102.69,172.38,6.66,7.42,76G-FAM000176,Thaumi_prot_LH_FAM000953,N,N,NV+NF+NM,NV+NF+NM,1238
NVIE_022540,NVIE_RS10835,"putative Sm-like ribonucleoprotein, core (modular protein)",-0.46,4.77E-04,114.24,192.16,6.82,7.58,76G-FAM000829,Thaumi_prot_LH_FAM003209,N,N,NV+NF,NV+NF,1145
NVIE_018880,NVIE_RS09195,hypothetical protein,-0.46,1.96E-05,1055.13,1769.24,10.03,10.79,76G-FAM008013,Thaumi_prot_LH_FAM002530,N,Y,NV,NV,110
NVIE_004370,NVIE_RS14515,Precorrin-8X methylmutase/sirohydrochlorin ferrochelatase,-0.46,3.06E-03,105.22,177.57,6.7,7.47,76G-FAM010074,Thaumi_prot_LH_FAM003536,N,Y,NV,NV,1214
NVIE_013480,NVIE_RS06525,archaeal NusA family KH domain containing protein,-0.46,2.41E-05,924.17,1556.72,9.84,10.6,76G-FAM000348,Thaumi_prot_LH_FAM000293,Y,N,NV+NF+NM,NV+NF+NM,130
NVIE_016900,NVIE_RS08225,threonine--tRNA ligase,-0.46,6.65E-08,177.56,298.8,7.47,8.22,76G-FAM000266,Thaumi_prot_LH_FAM000148,N,N,NV+NF+NM,NV+NF+NM,811
NVIE_017460,NVIE_RS08500,"putative pre-mRNA processing ribonucleoprotein, snoRNA-binding domain",-0.46,2.86E-04,236.07,399.95,7.88,8.63,76G-FAM000286,#N/A,N,N,NV+NF+NM,#N/A,620
NVIE_023620,NVIE_RS11315,blue (type 1) copper domain protein,-0.46,1.58E-01,4.96,8.4,2.17,3.06,76G-FAM002825_0,Thaumi_prot_LH_FAM000003_0,Y,N,NV+NF+NM,NV+NF+NM,2874
NVIE_0022,NVIE_RS00100,50S ribosomal protein L13p,-0.46,9.04E-05,251.86,423.77,7.96,8.72,76G-FAM000465,Thaumi_prot_LH_FAM000826,Y,N,NV+NF+NM,NV+NF+NM,571
NVIE_015380,NVIE_RS07475,exported protein of unknown function,-0.46,6.76E-03,9.09,15.27,3.17,3.91,76G-FAM010378,Thaumi_prot_LH_FAM003495,N,Y,NV,NV,2706
NVIE_010840,NVIE_RS14545,exported protein of unknown function,-0.46,4.47E-03,39.84,67.29,5.29,6.06,76G-FAM004308,Thaumi_prot_LH_FAM003023,N,N,NV,NV,1945
NVIE_018720,NVIE_RS09120,hypothetical protein,-0.46,3.03E-03,173.16,293.91,7.41,8.19,76G-FAM008431,Thaumi_prot_LH_FAM000415,N,Y,NV+NF+NM,NV+NF+NM,833
NVIE_002450,NVIE_RS15100,protein of unknown function,-0.46,1.99E-05,274.74,464.17,8.09,8.85,#N/A,Thaumi_prot_LH_FAM002842,#N/A,#N/A,NA,NV+NF,532
NVIE_029300,NVIE_RS14015,30S ribosomal protein S28e,-0.46,3.31E-02,106.2,178.54,6.66,7.45,76G-FAM000428,Thaumi_prot_LH_FAM000177,Y,N,NV+NF+NM,NV+NF+NM,1205
NVIE_006280,NVIE_RS03075,protein of unknown function,-0.47,1.48E-01,15.81,26.48,3.81,4.71,76G-FAM035177,Thaumi_prot_LH_FAM008469,N,Y,NV,NV,2490
NVIE_009720,NVIE_RS04735,protein of unknown function,-0.47,5.94E-03,23.77,40.25,4.54,5.33,76G-FAM010159,Thaumi_prot_LH_FAM003602,N,Y,NV,NV,2275
NVIE_008420,NVIE_RS04105,hypothetical protein,-0.47,1.89E-03,143.82,243.82,7.16,7.92,76G-FAM010173,Thaumi_prot_LH_FAM003021,N,Y,NV+NF,NV+NF,960
NVIE_026800,NVIE_RS12810,conserved protein of unknown function,-0.47,5.14E-01,0.96,1.67,#NUM!,0.63,76G-FAM035401,Thaumi_prot_LH_FAM008749,N,Y,NV,NV,3096
NVIE_022470,NVIE_RS10805,hypothetical protein,-0.47,1.12E-03,14.12,23.76,3.8,4.56,76G-FAM010387,Thaumi_prot_LH_FAM003211,N,Y,NV+NF,NV+NF,2537
NVIE_017690,NVIE_RS08615,transaldolase,-0.47,3.30E-04,135.49,229.45,7.06,7.83,76G-FAM001995,Thaumi_prot_LH_FAM000057,Y,N,NV+NF+NM,NV+NF+NM,1001
NVIE_003570,NVIE_RS15120,protein of unknown function,-0.47,5.49E-04,391.64,659.82,8.59,9.36,#N/A,Thaumi_prot_LH_FAM003531,#N/A,#N/A,NA,NV,383
NVIE_022450,NVIE_RS10795,putative beta-lactamase domain protein,-0.47,7.96E-06,191.56,325.12,7.58,8.34,76G-FAM000661,Thaumi_prot_LH_FAM000915,N,N,NV+NF+NM,NV+NF+NM,750
NVIE_003680,NVIE_RS01790,putative cupredoxin,-0.47,2.86E-05,111.8,188.78,6.8,7.56,76G-FAM010071,Thaumi_prot_LH_FAM002930,N,Y,NV+NF,NV+NF,1169
NVIE_028020,NVIE_RS13400,exported protein of unknown function,-0.47,1.56E-04,33.01,56.27,5.04,5.81,76G-FAM035423,Thaumi_prot_LH_FAM008774,N,Y,NV,NV,2073
NVIE_027180,NVIE_RS13005,putative DNA-directed RNA polymerase subunit L,-0.47,1.07E-04,402.99,678.01,8.64,9.4,76G-FAM002597,Thaumi_prot_LH_FAM000782,N,N,NV+NF+NM,NV+NF+NM,370
NVIE_020660,NVIE_RS09925,"cobalt-precorrin-6Y C(5,15)-methyltransferase",-0.47,2.43E-05,78.46,132.53,6.28,7.05,76G-FAM007474,Thaumi_prot_LH_FAM001041,N,Y,NV+NF+NM,NV+NF+NM,1460
NVIE_022370,NVIE_RS10755,nicotinamide-nucleotide adenylyltransferase,-0.47,1.45E-05,58.01,98.52,5.85,6.62,76G-FAM000836_0,Thaumi_prot_LH_FAM000759,Y,N,NV+NF+NM,NV+NF+NM,1700
NVIE_021420,NVIE_RS10290,protein of unknown function,-0.47,1.76E-02,18.85,31.94,4.18,4.99,76G-FAM035314,Thaumi_prot_LH_FAM008635,N,Y,NV,NV,2399
NVIE_008680,NVIE_RS04240,bifunctional protein FolD,-0.47,2.43E-05,281.17,479.27,8.13,8.9,76G-FAM002053,Thaumi_prot_LH_FAM000078,N,N,NV+NF+NM,NV+NF+NM,519
NVIE_t0240,NVIE_RS07535,tRNA-Arg,-0.47,3.70E-01,4.89,8.28,2.22,2.95,#N/A,#N/A,#N/A,#N/A,NA,#N/A,2877
NVIE_002800,NVIE_RS01360,hypothetical protein,-0.47,3.68E-07,135.29,230.01,7.07,7.84,76G-FAM010053,Thaumi_prot_LH_FAM002999,N,Y,NV+NF,NV+NF,1005
NVIE_002250,NVIE_RS01100,putative cupredoxin,-0.47,2.32E-04,1144.42,1949.54,10.14,10.93,76G-FAM009749,Thaumi_prot_LH_FAM003513,N,Y,NV+NF,NV+NF,97
NVIE_003530,NVIE_RS01725,protein of unknown function DUF929,-0.47,4.40E-05,236.79,404.02,7.88,8.66,76G-FAM010065,Thaumi_prot_LH_FAM002933,N,Y,NV,NV,617
NVIE_012490,NVIE_RS06050,putative phosphoesterase PA-phosphatase,-0.48,2.76E-04,134.97,230.79,7.07,7.85,76G-FAM003258,Thaumi_prot_LH_FAM000764,Y,N,NV+NF+NM,NV+NF+NM,1008
NVIE_014420,NVIE_RS07010,triosephosphate isomerase,-0.48,6.39E-04,178.49,304.56,7.46,8.25,76G-FAM000156,Thaumi_prot_LH_FAM000628,Y,N,NV+NF+NM,NV+NF+NM,805
NVIE_026330,NVIE_RS12580,hypothetical protein with adenylate/guanylate cyclase domain,-0.48,8.14E-05,76.59,130.28,6.25,7.02,76G-FAM007405,Thaumi_prot_LH_FAM002391,N,Y,NV+NF+NM,NV,1479
NVIE_016500,#N/A,lysine biosynthesis enzyme,-0.48,7.91E-05,513.71,874.2,8.99,9.77,#N/A,#N/A,#N/A,#N/A,NA,#N/A,289
NVIE_016050,NVIE_RS07795,putative 30S ribosomal protein S24e,-0.48,1.18E-03,250.53,425.18,7.94,8.72,76G-FAM003187,Thaumi_prot_LH_FAM000280,N,N,NV+NF+NM,NV+NF+NM,578
NVIE_013360,NVIE_RS06460,hypothetical protein,-0.48,4.19E-04,48.84,82.98,5.6,6.37,76G-FAM007495,Thaumi_prot_LH_FAM002689,N,Y,NV,NV,1803
NVIE_025240,NVIE_RS12065,deoxyhypusine synthase,-0.48,2.40E-04,117.76,201.33,6.87,7.65,76G-FAM000247,Thaumi_prot_LH_FAM000249,Y,N,NV+NF+NM,NV+NF+NM,1115
NVIE_004300,NVIE_RS02080,putative snRNP Sm-like protein,-0.48,1.04E-06,790.46,1345.06,9.61,10.39,76G-FAM000322_0,Thaumi_prot_LH_FAM000024,Y,N,NV+NF+NM,NV+NF+NM,162
NVIE_008440,NVIE_RS04115,30S ribosomal protein S25e,-0.48,1.54E-05,197.1,334.75,7.61,8.39,76G-FAM000766,Thaumi_prot_LH_FAM000152,Y,N,NV+NF+NM,NV+NF+NM,727
NVIE_000260,NVIE_RS00130,putative exosome complex exonuclease,-0.48,2.25E-05,643.26,1100.86,9.32,10.1,76G-FAM000510,Thaumi_prot_LH_FAM000850,Y,N,NV+NF+NM,NV+NF+NM,208
NVIE_025570,NVIE_RS12230,arginine--tRNA ligase,-0.48,2.22E-04,57.46,98.13,5.83,6.61,76G-FAM000443,Thaumi_prot_LH_FAM000224,Y,N,NV+NF+NM,NV+NF+NM,1708
NVIE_000420,NVIE_RS00210,phenylalanine--tRNA ligase beta chain,-0.48,1.74E-04,70.97,121.26,6.13,6.92,76G-FAM000797,Thaumi_prot_LH_FAM000049,N,N,NV+NF+NM,NV+NF+NM,1547
NVIE_022200,NVIE_RS10675,"putative Type I restriction-modification system, modification subunit M",-0.48,7.23E-05,42.26,71.97,5.38,6.17,76G-FAM003807,Thaumi_prot_LH_FAM001905,N,N,NV+NM,NV+NM,1910
NVIE_000060,NVIE_RS00025,threonine ammonia-lyase,-0.48,3.92E-04,142.51,244.06,7.14,7.92,76G-FAM001036,Thaumi_prot_LH_FAM000455,N,N,NV+NF+NM,NV+NF+NM,975
NVIE_028310,NVIE_RS13520,protein of unknown function,-0.48,3.10E-02,15.44,26.29,3.9,4.7,76G-FAM009922,Thaumi_prot_LH_FAM003154,N,Y,NV,NV,2499
NVIE_000290,NVIE_RS00145,"prefoldin, subunit beta",-0.48,1.43E-05,259.45,442.85,8,8.78,76G-FAM000507,Thaumi_prot_LH_FAM000006,Y,N,NV+NF+NM,NV+NF+NM,555
NVIE_0677,#N/A,protein of unknown function,-0.48,2.54E-02,31.2,53.91,4.96,5.69,#N/A,#N/A,#N/A,#N/A,NA,#N/A,2106
NVIE_004260,NVIE_RS02060,DUTPase superfamily protein,-0.48,4.10E-05,102.27,175.48,6.67,7.45,76G-FAM002960,Thaumi_prot_LH_FAM000792,Y,N,NV+NF+NM,NV+NF+NM,1244
NVIE_005730,NVIE_RS02805,zinc finger C2H2 domain-containing protein,-0.49,2.47E-02,13.34,23.03,3.71,4.51,76G-FAM010122,Thaumi_prot_LH_FAM002883,N,Y,NV+NF,NV+NF,2560
NVIE_022890,NVIE_RS10985,"archaeal A1A0-type ATP synthase, subunit E",-0.49,4.23E-06,818.81,1405.13,9.67,10.45,76G-FAM007610,Thaumi_prot_LH_FAM000806,N,Y,NV+NM,NV+NM,151
NVIE_014410,NVIE_RS07005,"bifunctional fructose-1,6-bisphosphatase/aldolase",-0.49,2.09E-07,399.66,686.53,8.64,9.42,76G-FAM000161,Thaumi_prot_LH_FAM000374,Y,N,NV+NF+NM,NV+NF+NM,373
NVIE_028970,NVIE_RS13835,protein of unknown function,-0.49,7.11E-05,202.27,346.98,7.65,8.44,76G-FAM009942,Thaumi_prot_LH_FAM003866,N,Y,NV,NV,710
NVIE_010100,NVIE_RS04910,protein of unknown function,-0.49,1.64E-04,29.55,50.76,4.88,5.66,76G-FAM010210,Thaumi_prot_LH_FAM003612,N,Y,NV,NV,2139
NVIE_013010,NVIE_RS06310,4Fe-4S ferredoxin iron-sulfur binding domain-containing protein,-0.49,1.91E-02,141.1,245.03,7.11,7.88,76G-FAM000562_0,Thaumi_prot_LH_FAM000965,Y,N,NV+NF+NM,NV+NF+NM,980
NVIE_025450,NVIE_RS12170,isoleucine--tRNA ligase,-0.49,2.03E-05,124.22,213.81,6.94,7.74,76G-FAM000453,Thaumi_prot_LH_FAM000075,N,N,NV+NF+NM,NV+NF+NM,1074
NVIE_024920,NVIE_RS11925,protein of unknown function,-0.49,5.69E-03,13.59,23.21,3.73,4.52,76G-FAM035358,Thaumi_prot_LH_FAM008695,N,Y,NV,NV,2551
NVIE_013180,#N/A,protein of unknown function,-0.49,6.84E-01,0.49,0.87,#NUM!,-0.42,#N/A,#N/A,#N/A,#N/A,NA,#N/A,3137
NVIE_020580,NVIE_RS09895,phosphoribosyl-AMP cyclohydrolase,-0.49,3.05E-04,164.86,283.19,7.35,8.14,76G-FAM000260,Thaumi_prot_LH_FAM001186,N,N,NV+NF+NM,NV+NF+NM,866
NVIE_026280,NVIE_RS15630,exported protein of unknown function,-0.49,9.03E-03,135.23,235.08,7.05,7.85,#N/A,Thaumi_prot_LH_FAM008723,#N/A,#N/A,NA,NV,1006
NVIE_006610,NVIE_RS03220,uncharacterised protein family UPF0147,-0.5,3.74E-04,614.59,1056.13,9.26,10.03,76G-FAM000003,Thaumi_prot_LH_FAM000901,Y,N,NV+NF+NM,NV+NF+NM,222
NVIE_007240,NVIE_RS03515,Amino acid ABC transporter substrate binding protein,-0.5,4.56E-04,110.89,192.15,6.78,7.56,76G-FAM010152,Thaumi_prot_LH_FAM003573,N,Y,NV,NV,1179
NVIE_1068,#N/A,protein of unknown function,-0.5,6.51E-03,25.09,43.19,4.62,5.42,#N/A,#N/A,#N/A,#N/A,NA,#N/A,2239
NVIE_010670,NVIE_RS05160,protein of unknown function,-0.5,1.60E-02,12.44,21.42,3.59,4.4,76G-FAM002521,Thaumi_prot_LH_FAM000059,N,N,NV+NM,NV+NM,2597
NVIE_008130,NVIE_RS03965,putative thiazole biosynthetic enzyme Thi4 family,-0.5,4.18E-06,558.44,965.1,9.11,9.91,76G-FAM001758,Thaumi_prot_LH_FAM000234,N,Y,NV+NF+NM,NV+NF+NM,254
NVIE_009800,NVIE_RS15285,protein of unknown function,-0.5,1.66E-02,94,161.83,6.49,7.33,#N/A,Thaumi_prot_LH_FAM003604,#N/A,#N/A,NA,NV,1320
NVIE_007760,NVIE_RS03780,putative thiosulfate sulfurtransferase,-0.5,6.45E-05,31.24,53.89,4.95,5.74,76G-FAM001528_0,Thaumi_prot_LH_FAM000233_0,Y,N,NV+NF+NM,NV+NF+NM,2105
NVIE_026070,NVIE_RS12465,ADP-ribose pyrophosphatase (modular protein),-0.5,7.12E-03,25.39,44.04,4.64,5.42,76G-FAM010335,Thaumi_prot_LH_FAM002633,N,Y,NV,NV,2234
NVIE_027460,NVIE_RS13145,glycine--tRNA ligase,-0.5,3.15E-05,168.1,291.9,7.39,8.19,76G-FAM000715,Thaumi_prot_LH_FAM001102,Y,N,NV+NF+NM,NV+NF+NM,850
NVIE_028190,NVIE_RS13470,putative peptidase M20,-0.5,5.34E-05,125.2,218.04,6.96,7.76,76G-FAM001384,Thaumi_prot_LH_FAM000154,N,N,NV+NF+NM,NV+NF+NM,1067
NVIE_023550,NVIE_RS11285,putative haloacid dehalogenase domain protein hydrolase,-0.5,1.34E-03,20.51,35.61,4.33,5.15,76G-FAM003214,Thaumi_prot_LH_FAM001181,Y,N,NV+NF+NM,NV+NF+NM,2356
NVIE_027740,NVIE_RS13260,uroporphyrinogen-III synthase,-0.5,3.05E-07,36.87,64.21,5.2,6,76G-FAM008227,Thaumi_prot_LH_FAM000740,N,Y,NV+NM,NV+NM,1998
NVIE_009030,#N/A,protein of unknown function,-0.51,5.84E-02,27.25,46.73,4.67,5.52,#N/A,#N/A,#N/A,#N/A,NA,#N/A,2193
NVIE_000710,NVIE_RS14485,putative transcription antitermination protein NusG,-0.51,7.72E-04,485.82,849.34,8.91,9.71,76G-FAM000979,Thaumi_prot_LH_FAM000220,Y,N,NV+NF+NM,NV+NF+NM,300
NVIE_000210,NVIE_RS00105,50S ribosomal protein L18e,-0.51,1.27E-06,517.24,898.12,9,9.81,76G-FAM000441,Thaumi_prot_LH_FAM000827,Y,N,NV+NF+NM,NV+NF+NM,284
NVIE_000410,NVIE_RS00205,phenylalanine--tRNA ligase alpha chain,-0.51,1.28E-05,101.02,175.63,6.65,7.45,76G-FAM000852,Thaumi_prot_LH_FAM000050,Y,N,NV+NF+NM,NV+NF+NM,1256
NVIE_004850,NVIE_RS02360,cupin domain protein,-0.51,5.63E-06,20.41,35.53,4.35,5.15,76G-FAM008728,Thaumi_prot_LH_FAM001553,N,Y,NV+NF,NV,2358
NVIE_007970,NVIE_RS03890,putative FAD/NAD(P)-binding oxidoreductase,-0.51,4.85E-05,712.8,1246.45,9.47,10.28,76G-FAM007506,Thaumi_prot_LH_FAM000923,Y,Y,NV+NF+NM,NV+NF+NM,191
NVIE_004460,NVIE_RS02165,putative isocitrate lyase /carboxyphosphonoenolpyruvate phosphonomutase,-0.51,1.75E-07,158.48,276.17,7.3,8.11,76G-FAM000914,Thaumi_prot_LH_FAM000956,Y,N,NV+NF+NM,NV+NF+NM,888
NVIE_027170,NVIE_RS13000,putative DNA-directed RNA polymerase subunit M,-0.51,5.71E-07,208.14,361.91,7.69,8.5,76G-FAM000669,Thaumi_prot_LH_FAM000783,N,N,NV+NF+NM,NV+NF+NM,693
NVIE_016010,NVIE_RS07775,GCN5-related N-acetyltransferase,-0.51,3.08E-04,126.19,221.55,6.97,7.78,76G-FAM004598,Thaumi_prot_LH_FAM003179,N,N,NV,NV,1062
NVIE_022120,NVIE_RS10635,protein of unknown function,-0.51,3.71E-02,4.55,8,2.17,2.97,76G-FAM010397,Thaumi_prot_LH_FAM003229,N,Y,NV,NV,2895
NVIE_004220,NVIE_RS02030,putative methyltransferase type 11,-0.51,2.67E-09,37.58,65.63,5.23,6.03,76G-FAM008142,Thaumi_prot_LH_FAM000831,N,Y,NV+NM,NV+NM,1983
NVIE_016920,#N/A,protein of unknown function,-0.51,3.48E-02,24.5,42.55,4.56,5.39,#N/A,#N/A,#N/A,#N/A,NA,#N/A,2258
NVIE_022300,NVIE_RS10720,protein of unknown function,-0.51,6.81E-03,37.05,64.63,5.18,5.98,76G-FAM035326,Thaumi_prot_LH_FAM008652,N,Y,NV,NV,1996
NVIE_002300,NVIE_RS01125,putative DNA methylase,-0.51,4.53E-06,61.09,107.13,5.92,6.74,76G-FAM002861,Thaumi_prot_LH_FAM002838,N,N,NV,NV,1661
NVIE_004930,NVIE_RS02400,luciferase-like monooxygenase family protein,-0.51,6.82E-05,48.29,84.69,5.58,6.4,76G-FAM001132,Thaumi_prot_LH_FAM000386,Y,N,NV+NF+NM,NV+NF+NM,1819
